idCarpeta,Delito,Categoria,Sexo,Edad,TipoPersona,CalidadJuridica,competencia,Año_hecho,Mes_hecho,AlcaldiaHechos,ColoniaHechos,Calle_hechos,Calle_hechos2,latitud,longitud,Hora_Hechos_24,Tipo_de_delito,Años_sentencia ,Escala_clasificacion,Casos
8380543,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,Femenino,16.0,FISICA,VICTIMA,FUERO COMUN,2019,Marzo,Iztapalapa,PREDIO EL MOLINO,DAMIANA,FINISACHI,19.29154,-99.06931,10,ABUSO SEXUAL,3,1,1
8400695,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,,,MORAL,VICTIMA,FUERO COMUN,2019,Abril,Álvaro Obregón,LOS ALPES,CALZ. DE LOS LEONES,,19.35792,-99.19833,14,ROBO A NEGOCIO CON VIOLENCIA,3,1,1
8594409,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,44.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Diciembre,Azcapotzalco,SAN FRANCISCO XOCOTITLA,CALLE 1,CALLE 26,19.46872,-99.14899,6,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8354427,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,Masculino,46.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Febrero,Benito Juárez,PORTALES SUR,BELGICA,,19.36389,-99.14594,13,ROBO A NEGOCIO CON VIOLENCIA,3,1,1
8794024,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,38.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Noviembre,Tláhuac,QUIAHUATLA,FRANCISCO VILLA,,19.2588775383462,-99.00627618357606,21,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8645369,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,Femenino,8.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Febrero,Coyoacán,PEDREGAL DE SANTO DOMINGO,ACATEMPA,,19.3230350076002,-99.16626300986731,22,ABUSO SEXUAL,3,1,1
8509548,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,,,MORAL,AGRAVIADO,FUERO COMUN,2019,Agosto,Azcapotzalco,SAN MARCOS,CALLE A,,19.48938,-99.18413,17,ROBO A NEGOCIO CON VIOLENCIA,3,1,1
8685734,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,Femenino,,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Marzo,Miguel Hidalgo,TACUBAYA,AVENIDA JALISCO,BLVD ADOLFO LOPEZ MATEOS,19.3981652015127,-99.18953660027658,9,ROBO DE OBJETOS,3,1,1
8380993,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,ROBO A PASAJERO A BORDO DEL METRO CON Y SIN VIOLENCIA,Masculino,26.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Marzo,Coyoacán,CENTRAL DE AUTOBUSES DEL SUR TAXQUEÑA,ESTACION DEL METRO TAXQUEÑA LINEA 2,,19.343870000000006,-99.13922,15,ROBO A PASAJERO A BORDO DE METRO SIN VIOLENCIA,3,1,1
8428621,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,42.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Mayo,Xochimilco,SAN MARCOS,ZACATECAS,GUADALUPE I. RAMIREZ,19.26505,-99.11161,10,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8762431,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,,,MORAL,OFENDIDO,FUERO COMUN,2020,Septiembre,La Magdalena Contreras,SAN NICOLÁS TOTOLAPAN,BUENA VISTA,RETAMA,19.2962103128805,-99.251955193576,1,ROBO DE OBJETOS,3,1,1
8598694,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,Femenino,37.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Septiembre,Xochimilco,BARRIO XALTOCAN,AV. 16 DE SEPTIEMBRE,CAPULIN,19.2482,-99.10467,6,ROBO DE OBJETOS,3,1,1
8355576,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Febrero,Álvaro Obregón,TLAPECHICO,2 CALLEJON DE TLAPECHICO,,19.37934,-99.24346,8,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8671410,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,Masculino,,FISICA,VICTIMA,FUERO COMUN,2020,Abril,Iztapalapa,REFORMA POLÍTICA,AV. DE LAS TORRES,REFORMA POLITICA,19.341398473968198,-99.03229252902719,17,ROBO DE OBJETOS,3,1,1
8783501,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,26.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Octubre,Venustiano Carranza,MORELOS,ALFARERIA,ESQUINA  CON PELUQUEROS,19.447421155216894,-99.12396729660169,10,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8489395,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Agosto,Cuauhtémoc,DOCTORES,DR. JIMENEZ,FEDERICO GOMEZ SANTOS,19.40809,-99.15119,15,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8750893,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,Femenino,30.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Septiembre,Coyoacán,ERMITA CHURUBUSCO,ERMITA IZTAPALAPA,,19.3578601648648,-99.1240056400605,7,ROBO DE OBJETOS,3,1,1
8362900,LESIONES INTENCIONALES POR GOLPES,DELITO DE BAJO IMPACTO,Masculino,21.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Febrero,Cuajimalpa de Morelos,LA NAVIDAD,CINCO DE DICIEMBRE,,19.37444,-99.28676,11,LESIONES INTENCIONALES POR GOLPES,2,1,1
8322520,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,58.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Enero,Gustavo A. Madero,NUEVA ATZACOALCO,327,314,19.49973,-99.08217,8,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8677961,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,Masculino,,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Abril,Benito Juárez,,UXMAL,,19.3926703460615,-99.1548064602713,10,ROBO DE OBJETOS,3,1,1
8342107,ROBO A NEGOCIO CON VIOLENCIA,ROBO A NEGOCIO CON VIOLENCIA,Masculino,0.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2018,Diciembre,Iztacalco,SANTIAGO NORTE,CALZADA DE LA VIGA,,19.391820000000006,-99.12555,19,ROBO A NEGOCIO CON VIOLENCIA,3,1,1
